{'query': '重庆市垫江县气象台发布大雾黄色预警信号', 'dynamic_info': '垫江县气象台2025年1月2日22时20分发布“大雾黄色预警信号”，预计3日0:00-11:00，我县所有乡镇（街道）可能出现能见度小于500米的雾，局地能见度小于200米。请各地注意防范大雾天气可能造成的影响。'}
{'query': '黑龙江省大兴安岭地区呼玛县气象台发布严寒蓝色预警信号', 'dynamic_info': '呼玛县气象台2025年1月2日16时10分发布严寒蓝色预警信号：预计未来24小时内我县最低气温将要下降到零下35℃以下，请相关单位和个人注意做好预防工作。 防御指南： 1.政府及有关部门按照职责做好防严寒应对工作； 2.交通、铁路、电力、通信、供热、供排水等部门加强巡查维护，供暖单位加强供热力度； 3.公众注意添衣保暖、防范冻伤，驾驶人员注意车辆电量情况； 4.农牧区和种养殖业储备饲料，采取防寒保暖措施。'}
{'query': '福建省南平市武夷山市气象台发布霜冻蓝色预警信号', 'dynamic_info': '武夷山市气象台2025年01月02日16时07分继续发布霜冻蓝色预警信号：预计3日我市最低气温可达4℃或以下，夜晨有霜或霜冻，请注意防范！'}
{'query': '四川省德阳市气象台发布霜冻蓝色预警信号', 'dynamic_info': '德阳市气象台2025年01月02日16时03分继续发布旌阳区、经开区霜冻蓝色预警信号：旌阳区、经开区大部分乡镇（街道）未来48小时内地面最低温度将下降到0℃或以下并可能持续。请注意采取防御冻害的措施，防范霜冻对农牧业带来的不利影响，并注意用电、用气、用火和出行安全。'}
{'query': '四川省绵阳市平武县气象台发布霜冻蓝色预警信号', 'dynamic_info': '平武县气象台2025年01月02日16时00分继续发布霜冻蓝色预警信号：预计未来48小时内，我县大部分地方地面最低温度将下降到0℃以下，高海拔地区易出现道路结冰。对农牧业和交通有不利影响，请做好防御霜冻和道路结冰的准备工作，并注意用火、用电、用气和出行安全。'}
{'query': '福建省泉州市永春县气象台发布霜冻蓝色预警信号', 'dynamic_info': '永春县气象台2025年01月02日15时59分继续发布霜冻蓝色预警信号：受冷空气影响，预计今天夜间到3日早晨我县气温低，下洋镇等高海拔乡镇最低气温可达4℃以下，有霜或霜冻。请注意做好防寒防冻工作！'}
{'query': '辽宁省大连市庄河市气象台发布大风蓝色预警信号', 'dynamic_info': '庄河市气象台2025年01月02日15时52分发布大风蓝色预警信号：预计2日傍晚到3日上午，庄河市西北风5到6级、阵风7到8级，请相关部门做好防大风工作。谨防高空坠物、注意出行及作业安全。'}
{'query': '四川省绵阳市三台县气象台发布霜冻蓝色预警信号', 'dynamic_info': '三台县气象台2025年01月02日15时48分继续发布霜冻蓝色预警信号：预计我县未来48小时内地面最低温度将下降到0℃或以下。请注意采取防御冻害的措施，防范霜冻对农牧业带来的不利影响，并注意用火、用电、用气和出行安全。'}
{'query': '湖南省岳阳市汨罗市气象台发布大风蓝色预警信号', 'dynamic_info': '汨罗市气象台2025年1月2日15时43分发布大风蓝色预警信号：预计汨罗市未来24小时将出现6～7级大风，最大风力可达8级以上，请注意防范。'}
{'query': '四川省绵阳市江油市气象台发布霜冻蓝色预警信号', 'dynamic_info': '江油市气象台2025年01月02日15时35分继续发布霜冻蓝色预警信号：预计我市未来48小时内地面最低温度将下降到0℃以下，对农牧业将产生影响。请采取防御冻害的措施，并注意用火、用电、用气和出行安全。'}
{'query': '福建省宁德市屏南县气象台发布霜冻蓝色预警信号', 'dynamic_info': '屏南县气象台2025年01月02日15时30分继续发布霜冻蓝色预警信号：受冷空气影响，预计今天夜里到明天，我县最低气温可达0～3℃，有霜或霜冻，请注意防范！'}
{'query': '福建省宁德市古田县气象台发布霜冻蓝色预警信号', 'dynamic_info': '古田县气象台2025年01月02日16时08分继续发布霜冻蓝色预警信号：受冷空气影响，今天夜里到明天早晨，我县大部分乡镇最低气温可达2～4℃，有霜或霜冻。请注意防范！'}
{'query': '辽宁省大连市长海县气象台发布大风蓝色预警信号', 'dynamic_info': '长海县气象台2025年01月02日16时05分发布大风蓝色预警信号：预计2日夜间到3日白天，长海县各镇西北风6级、阵风7级半夜增强到阵风7到8级3日上午减弱到阵风7级。请相关部门做好防大风工作。谨防高空坠物、注意出行及作业安全。'}
{'query': '辽宁省大连市瓦房店市气象台发布大风蓝色预警信号', 'dynamic_info': '瓦房店市气象台2025年01月02日16时01分发布大风蓝色预警信号：预计2日夜间到3日上午，瓦房店市西北风5到6级半夜增强到阵风7级3日上午减弱到4到5级，请相关部门做好防大风工作，谨防高空坠物、注意出行及作业安全。'}
{'query': '四川省绵阳市梓潼县气象台发布霜冻蓝色预警信号', 'dynamic_info': '梓潼县气象台2025年01月02日15时59分继续发布霜冻蓝色预警信号：预计我县未来48小时内地面最低温度将下降到 0℃以下，对农业将产生影响。请采取防御冻害的措施，并注意用火、用电、用气和出行安全。'}
{'query': '辽宁省大连市旅顺口区气象台发布大风蓝色预警信号', 'dynamic_info': '旅顺口区气象台2025年01月02日15时54分发布大风蓝色预警信号：预计2日夜间到3日上午，旅顺口区西北风5到6级半夜增强到阵风7级3日上午减弱到4到5级，请相关部门做好防大风工作，谨防高空坠物、注意出行及作业安全。'}
{'query': '福建省泉州市安溪县气象台发布霜冻蓝色预警信号', 'dynamic_info': '安溪县气象台2025年01月02日15时50分继续发布霜冻蓝色预警信号：受冷空气影响，预计今天夜间到1月3日早晨我县气温较低，内安溪桃舟乡、祥华乡等局部乡镇最低气温可达4℃以下，有霜或霜冻。请注意做好防寒防冻工作！'}
{'query': '辽宁省大连市气象台发布大风蓝色预警信号', 'dynamic_info': '大连市气象台2025年01月02日15时46分发布大风蓝色预警信号：预计2日夜间到3日上午，大连市中山区、西岗区、沙河口区、甘井子区、高新区西北风5到6级半夜增强到阵风7级3日上午减弱到4到5级，请相关部门做好防大风工作，谨防高空坠物、注意出行及作业安全。'}
{'query': '辽宁省大连市气象台发布海上大风蓝色预警信号', 'dynamic_info': '大连市气象台2025年01月02日15时40分发布海上大风蓝色预警信号：预计2日夜间到3日上午，大连地区西部沿海西北风6级、阵风7到8级3日上午转偏西风5到6级；南部沿海、东部沿海西北风6级、阵风7级半夜增强到阵风7到8级3日上午减弱到阵风7级。请相关部门做好防大风工作，注意海上交通及作业安全。'}
{'query': '四川省绵阳市气象台发布霜冻蓝色预警信号', 'dynamic_info': '绵阳市气象台2025年01月02日15时35分继续发布涪城、游仙霜冻蓝色预警信号：预计未来48小时内涪城区、游仙区的大部分地方地面最低温度将下降到0℃以下。请注意采取防御冻害的措施，防范霜冻对农牧业带来的不利影响，并注意用火、用电、用气和出行安全。'}
{'query': '贵州省贵阳市乌当区气象台发布大雾黄色预警信号', 'dynamic_info': '乌当区气象台2025年01月02日15时27分发布大雾黄色预警信号：预计未来12小时我区百宜、羊昌等乡镇将出现能见度小于500米的雾，请小心驾驶；请相关单位和人员参照气象灾害防御指南做好防灾减灾工作。'}
{'query': '福建省宁德市气象台发布霜冻蓝色预警信号', 'dynamic_info': '宁德市气象台2025年01月02日15时27分继续发布霜冻蓝色预警信号：预计今天夜间到明天白天，蕉城区的洋中、虎贝、石后、洪口、霍童、赤溪、九都等西部和北部乡镇最低气温可达0～4℃，有霜或霜冻。请注意防范！'}
{'query': '重庆市万州区气象台发布大雾黄色预警信号', 'dynamic_info': '万州区气象台2025年1月2日14时50分发布“大雾黄色预警信号”，预计1月2日22:00-3日10:00，高笋塘街道、太龙镇、钟鼓楼街道、大周镇、熊家镇、黄柏乡、小周镇、长滩镇、长岭镇、龙都街道、百安坝街道、五桥街道、白羊镇、牌楼街道、陈家坝街道、走马镇、茨竹乡、李河镇、高梁镇、太白街道、沙河街道、天城街道、周家坝街道、龙沙镇、甘宁镇、响水镇、高峰街道、柱山乡、双河口街道、九池街道、瀼渡镇、新田镇、溪口乡、分水镇、后山镇、弹子镇、孙家镇、余家镇等乡镇街道可能出现能见度小于500米的雾，局地能见度小于200米，请注意防范。'}
{'query': '青海省黄南藏族自治州河南蒙古族自治县气象台发布大风黄色预警信号', 'dynamic_info': '河南蒙古族自治县气象台2025年1月2日14时40分发布河南地区大风黄色预警信号：预计1月2日14时40分至3日02时40分河南地区将出现7级以上大风，阵风8级以上，请有关单位和人员做好防范准备。 防御指南： 1.政府及有关部门按照职责做好防大风工作； 2.减少露天活动和高空等户外危险作业； 3.行人与车辆不要在广告牌、临时搭建物或大树的下方停留； 4.安置易受大风影响的室外物品，严禁户外用火。'}
{'query': '河北省承德市围场满族蒙古族自治县气象台发布大风蓝色预警信号', 'dynamic_info': '围场满族蒙古族自治县气象台2025年01月02日14时05分发布大风蓝色预警信号：预计未来24小时，我县全部乡镇有西北风4~6级，阵风7~8级，局地可达9级以上，请注意防范。'}
{'query': '辽宁省鞍山市岫岩县气象台发布大风蓝色预警信号', 'dynamic_info': '大风蓝色预警信号：预计2日午后到夜间，岫岩县偏北风4到6级，阵风7到8级，请相关部门做好防大风工作，关好门窗，加固搭建物，注意森林防火。岫岩县气象台2025年01月02日13时04分发布'}
{'query': '新疆维吾尔自治区阿勒泰地区布尔津县气象台发布暴雪蓝色预警信号', 'dynamic_info': '布尔津县气象台2025年1月2日12时53分发布暴雪蓝色预警信号：预计1月2日中午至3日中午，布尔津县石头房子、禾木区域有暴雪（新增积雪15～20厘米），请注意加强防范。'}
{'query': '辽宁省朝阳市凌源市气象台发布大风蓝色预警信号', 'dynamic_info': '大风蓝色预警信号：预计2日白天，凌源市西北风4到6级，阵风7级，请注意防范高空坠物，避免高空作业。凌源市气象台2025年01月02日12时34分发布'}
{'query': '湖南省株洲市醴陵市气象台发布霾黄色预警信号', 'dynamic_info': '醴陵市气象台2025年1月2日10时49分发布霾黄色预警信号：预计醴陵市未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '辽宁省朝阳市建平县气象台发布大风蓝色预警信号', 'dynamic_info': '大风蓝色预警信号：预计2日中午到傍晚，建平县西北风4到6级，阵风7级，请加强森林草原防灭火工作。建平县气象台2025年01月02日10时31分发布'}
{'query': '新疆维吾尔自治区昌吉回族自治州玛纳斯县气象台发布大雾黄色预警信号', 'dynamic_info': '玛纳斯县气象台2025年1月2日10时21分发布大雾黄色预警信号：预计未来24小时，玛纳斯县兰州湾镇、玛纳斯镇、包家店至乐土驿一线以及广东地、北五岔、六户地等区域将断续出现能见度小于500米的雾，局部地区能见度小于200米，对交通出行有较大影响，请加强防范。'}
{'query': '甘肃省甘南藏族自治州临潭县气象台发布大风蓝色预警信号', 'dynamic_info': '临潭县气象台2025年01月02日15时25分发布大风蓝色预警信号：预计24小时内，我县长川乡、卓洛乡、术布乡、城关镇、新城镇、冶力关镇、古战镇、羊永镇、流顺镇、三岔乡、王旗镇、石门乡、羊沙镇、八角镇、店子镇、洮滨镇等部分地区可能受大风影响,平均风力可达6级以上，或者阵风8级以上。请有关单位和人员做好防范准备！'}
{'query': '青海省黄南藏族自治州泽库县气象台发布大风黄色预警信号', 'dynamic_info': '泽库县气象台2025年1月2日14时58分发布大风黄色预警信号：预计1月2日14时58分至3日02时58分泽库地区将出现7级以上大风，阵风8级以上，请有关单位和人员做好防范准备。 防御指南： 1.政府及有关部门按照职责做好防大风工作； 2.减少露天活动和高空等户外危险作业； 3.行人与车辆不要在广告牌、临时搭建物或大树的下方停留； 4.安置易受大风影响的室外物品，严禁户外用火。'}
{'query': '甘肃省甘南藏族自治州玛曲县气象台发布大风蓝色预警信号', 'dynamic_info': '玛曲县气象台2025年01月02日14时15分发布大风蓝色预警信号：预计24小时内，我县大部乡镇可能受大风影响，平均风力可达6级以上，阵风7级以上。请有关单位和人员做好防范准备！'}
{'query': '四川省阿坝藏族羌族自治州阿坝县气象台发布大风黄色预警信号', 'dynamic_info': '阿坝县气象台2025年01月02日13时31分发布大风黄色预警信号：阿坝县龙藏乡、安斗乡、阿坝镇、茸安乡、查理乡、安羌镇、垮沙乡、柯河乡、四洼乡、各莫镇、求吉玛乡、麦尔玛镇、河支镇、麦昆乡、贾洛镇12小时内将受大风影响,平均风力可达8级以上或者阵风9级以上并可能持续。请政府及有关部门做好防御大风工作，停止高空、水上等户外危险作业，危险地带人员做好避让。'}
{'query': '新疆维吾尔自治区阿勒泰地区气象台发布暴雪蓝色预警信号', 'dynamic_info': '阿勒泰地区气象台2025年1月2日12时58分发布暴雪蓝色预警信号：预计今日中午～3日中午，布尔津县禾木村、石头房子，阿勒泰市城区、拉斯特乡、大东沟、小东沟、乌希里克、野卡峡以及福海县夏牧场有暴雪（新增积雪15～20厘米）。'}
{'query': '新疆维吾尔自治区阿勒泰地区福海县气象台发布暴雪蓝色预警信号', 'dynamic_info': '福海县气象台2025年1月2日12时53分发布暴雪蓝色预警信号：预计今日中午～3日中午，我县夏牧场—红山嘴口岸一线有暴雪（新增积雪15～20厘米），请注意加强防范。'}
{'query': '辽宁省朝阳市喀左县气象台发布大风蓝色预警信号', 'dynamic_info': '大风蓝色预警信号：预计2日中午到傍晚，喀左县西北风4到6级，阵风7级，请加强森林草原防灭火工作。喀左县气象台2025年01月02日11时34分发布'}
{'query': '新疆维吾尔自治区昌吉回族自治州奇台县气象台发布大雾黄色预警信号', 'dynamic_info': '奇台县气象台2025年1月2日10时30分发布大雾黄色预警信号：预计未来24小时，奇台县部分区域将断续出现能见度小于500米的雾，局部地区能见度小于200米，对交通出行有较大影响，请加强防范。'}
{'query': '新疆维吾尔自治区昌吉回族自治州阜康市气象台发布大雾黄色预警信号', 'dynamic_info': '阜康市气象台2025年1月2日10时21分发布大雾黄色预警信号：预计未来24小时，阜康市区及城关镇、水磨沟乡、九运街镇、三工河乡、甘河子镇、上户沟乡、滋泥泉子镇将断续出现能见度小于500米的雾，局地能见度可能小于200米，对出行和交通运输影响较大，请防范。'}
{'query': '黑龙江省哈尔滨市木兰县气象台发布大雾黄色预警信号', 'dynamic_info': '木兰县气象台2025年1月2日10时19分发布大雾黄色预警信号：预计未来 12 小时，我县木兰镇、东兴镇、新民镇、建国乡、大贵镇、吉兴乡、利东镇、柳河镇将出现能见度小于500米、局地不足200米的雾，请注意防范。'}
{'query': '新疆维吾尔自治区昌吉回族自治州呼图壁县气象台发布大雾黄色预警信号', 'dynamic_info': '呼图壁县气象台2025年1月2日10时6分发布大雾黄色预警信号：目前我县已出现能见度小于500米的雾，预计未来24小时，呼图壁县城、五工台镇、大丰镇、园户村镇、二十里店镇等地将断续出现能见度小于500米的雾，局地能见度小于200米，对交通出行有较大影响，请加强防范。'}
{'query': '新疆维吾尔自治区阿克苏地区拜城县气象台发布大雾黄色预警信号', 'dynamic_info': '拜城县气象台2025年1月2日10时3分发布大雾黄色预警信号：预计未来24小时内拜城县赛里木镇、布隆乡、亚吐尔乡、大桥乡、托克逊乡、米吉克乡、康其镇、拜城镇及周边乡镇将出现能见度小于500米的雾，对道路交通产生不利影响，请注意防范。'}
{'query': '新疆维吾尔自治区省直辖行政单位石河子市气象台发布大雾橙色预警信号', 'dynamic_info': '石河子市气象台2025年1月2日9时25分发布大雾橙色预警信号：目前下野地片区已出现能见度小于200米的雾，预计今天上午大雾仍将持续，对交通影响较大，请注意防范。'}
{'query': '湖南省气象台发布霾黄色预警', 'dynamic_info': '湖南省气象台2025年1月2日8时59分发布霾黄色预警：预计2日8时至3日8时，湘东北、湘中局部地区将出现中度霾，请注意防范。黄色预警区域：长沙、株洲中北部、湘潭、常德、益阳、岳阳、邵阳东北部。'}
{'query': '新疆维吾尔自治区哈密地区巴里坤哈萨克自治县气象台发布大雾黄色预警信号', 'dynamic_info': '巴里坤哈萨克自治县气象台2025年1月2日7时18分发布大雾黄色预警信号：预计1月2日上午，城镇、萨尔乔克、海子沿、大河、八墙子可能出现能见度小于500米的雾，对交通出行有一定影响，请注意防范。'}
{'query': '湖南省湘潭市湘乡市气象台发布霾黄色预警信号', 'dynamic_info': '湘乡市气象台2025年1月2日6时16分发布霾黄色预警信号：预计湘乡市未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '湖南省衡阳市南岳区气象台发布霾黄色预警信号', 'dynamic_info': '南岳区气象台2025年1月2日6时1分发布霾黄色预警信号：预计南岳区未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '湖南省衡阳市衡南县气象台发布霾黄色预警信号', 'dynamic_info': '衡南县气象台2025年1月2日6时1分发布霾黄色预警信号：预计衡南县未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '湖南省衡阳市衡东县气象台发布霾黄色预警信号', 'dynamic_info': '衡东县气象台2025年1月2日6时1分发布霾黄色预警信号：预计衡东县未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '湖南省衡阳市耒阳市气象台发布霾黄色预警信号', 'dynamic_info': '耒阳市气象台2025年1月2日6时1分发布霾黄色预警信号：预计耒阳市未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '新疆维吾尔自治区昌吉州气象台发布大雾黄色预警信号', 'dynamic_info': '昌吉州气象台2025年1月2日10时8分发布大雾黄色预警信号：预计未来24小时，玛纳斯县至奇台县的部分区域将断续出现能见度小于500米的雾，局部地区能见度小于200米，对交通出行有较大影响，请加强防范。'}
{'query': '新疆维吾尔自治区昌吉回族自治州吉木萨尔县气象台发布大雾黄色预警信号', 'dynamic_info': '吉木萨尔县气象台2025年1月2日9时39分发布大雾黄色预警信号：预计未来24小时，我县县城、北庭镇、三台镇、老台乡、庆阳湖乡等地区将断续出现能见度小于500米的雾，平原区及大有镇、新地乡、泉子街镇等地局部地区可能出现能见度小于200米的雾，对交通出行有较大影响，请加强防范。'}
{'query': '福建省福州市闽清县气象台发布霜冻蓝色预警信号', 'dynamic_info': '闽清县气象台2025年01月02日09时29分继续发布霜冻蓝色预警信号：受冷空气影响，今天夜里到3日早晨我县气温较低，下祝、桔林、金沙等高海拔山区最低气温可达0～3℃，有霜或霜冻。请注意防范！'}
{'query': '辽宁省朝阳市北票市气象台发布大风蓝色预警信号', 'dynamic_info': '大风蓝色预警信号：预计2日白天，北票市西北风4到6级，阵风7级，请加强森林草原防灭火工作。北票市气象台2025年01月02日08时32分发布'}
{'query': '甘肃省甘南藏族自治州玛曲县气象台发布道路结冰黄色预警信号', 'dynamic_info': '玛曲县气象台2025年01月02日06时36分继续发布道路结冰黄色预警信号：预计24小时内我县大部分乡镇将受到道路结冰影响，请有关单位和人员做好防范准备！'}
{'query': '湖南省湘潭市韶山市气象台发布霾黄色预警信号', 'dynamic_info': '韶山市气象台2025年1月2日6时16分发布霾黄色预警信号：预计韶山市未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '湖南省衡阳市衡阳县气象台发布霾黄色预警信号', 'dynamic_info': '衡阳县气象台2025年1月2日6时1分发布霾黄色预警信号：预计衡阳县未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '湖南省衡阳市衡山县气象台发布霾黄色预警信号', 'dynamic_info': '衡山县气象台2025年1月2日6时1分发布霾黄色预警信号：预计衡山县未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '湖南省衡阳市祁东县气象台发布霾黄色预警信号', 'dynamic_info': '祁东县气象台2025年1月2日6时1分发布霾黄色预警信号：预计祁东县未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
{'query': '湖南省衡阳市常宁市气象台发布霾黄色预警信号', 'dynamic_info': '常宁市气象台2025年1月2日6时1分发布霾黄色预警信号：预计常宁市未来24小时内将出现中度霾，易形成中度空气污染，请注意防范。'}
